ReportDate	subj	cnt_client_tid	sum_trans_cnt	main_ind	main_ind_sum	main_ind_median	main_ind_avg	main_ind_procentile_10	main_ind_procentile_90	main_ind_max	main_ind_min	main_ind_sd	main_ind_descr	secondary1_ind_sum	secondary1_ind_median	secondary1_ind_avg	secondary1_ind_procentile_10	secondary1_ind_procentile_90	secondary1_ind_max	secondary1_ind_min	secondary1_ind_descr	secondary1_ind_sd	secondary2_ind_sum	secondary2_ind_median	secondary2_ind_avg	secondary2_ind_procentile_10	secondary2_ind_procentile_90	secondary2_ind_max	secondary2_ind_min	secondary2_ind_sd	secondary2_ind_descr	population_time
01-15-2013	Россия	?	?	571147,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
02-15-2013	Россия	?	?	504508,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
03-15-2013	Россия	?	?	628803,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
04-15-2013	Россия	?	?	836054,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
05-15-2013	Россия	?	?	867235,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
06-15-2013	Россия	?	?	768036,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
07-15-2013	Россия	?	?	912096,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
08-15-2013	Россия	?	?	911461,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
09-15-2013	Россия	?	?	856974,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
10-15-2013	Россия	?	?	977855,0000	?	?	?	?	?	?	?	?	001 Количество заявок на потребительский кредит	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	06.07.2117 14:20:20
